Titelname	Interpret	Album	Genre	Dauer	Titelnummer	Jahr
Meet The Monotone	Caecilie Norby	Queen Of Bad Excuses	Jazz	327	11	1999
Mercy Street	Herbie Hancock	The New Standard	Jazz	517	2	1996
The Message	Esbjoern Svensson Trio	Strange Place For Snow	Jazz	312	1	2002
Miles Ahead	Miles Davis	Miles Ahead	Jazz	209	5	1957
Milkman	Caecilie Norby	Queen Of Bad Excuses	Jazz	278	8	1999
Milwaukee	Al Jarreau	Glow	Jazz	295	8	1976
Mind If I	Viktoria Tolstoy	My Swedish Heart	Jazz	267	2	2005
Mingle In The Mincing-Machine	Esbjoern Svensson Trio	Seven Days Of Falling	Jazz	412	3	2003
Misterioso	Thelonious Monk	Misterioso	Jazz	656	6	1958
Mohammed Goes To New York, par	Esbjoern Svensson Trio	When Everyone Has Gone	Jazz	341	7	1998
Mohammed Goes To New York, par	Esbjoern Svensson Trio	When Everyone Has Gone	Jazz	254	6	1998
Moon Love	Chet Baker	My Funny Valentine	Jazz	199	10	1994
Moonlight Becomes You	Chet Baker	My Funny Valentine	Jazz	207	3	1994
The Morning Of You	Viktoria Tolstoy	My Swedish Heart	Jazz	206	8	2005
Muddy Water	Madeleine Peyroux	Dreamland	Jazz	212	8	1996
My Foolish Heart	Marc Copland	Some Love Songs	Jazz	587	7	2005
My Funny Valentine	Chet Baker	My Funny Valentine	Jazz	140	1	1994
My Man's Gone Now	Herbie Hancock	Gershwin's World	Jazz	115	11	1998
My Ship	Miles Davis	Miles Ahead	Jazz	267	4	1957
Never Broken	Cassandra Wilson	Traveling Miles	Jazz	313	8	1999
New Rhumba	Miles Davis	Miles Ahead	Jazz	276	7	1957
New York Minute	Herbie Hancock	The New Standard	Jazz	515	1	1996
Newborn Broken	Caecilie Norby	Queen Of Bad Excuses	Jazz	249	7	1999
Nick Leeson - Lost In The Moneyjungle	Amsterdam Jazz Quintet	Portraits	Jazz	371	3	1997
No Moon At All	Nana Mouskouri	Nana Mouskouri in New York	Jazz	151	1	1962
No Regrets	Viktoria Tolstoy	Shining On You	Jazz	269	7	2004
Norwegian Wood	Herbie Hancock	The New Standard	Jazz	487	3	1996
Nutty	Thelonious Monk	Misterioso	Jazz	326	1	1958
O.D.R.I.P	Esbjoern Svensson Trio	Seven Days Of Falling	Jazz	865	10	2003
Our Day Will Come	Caecilie Norby	Queen Of Bad Excuses	Jazz	635	12	1999
Overture (Fascinatin' Rhythm)	Herbie Hancock	Gershwin's World	Jazz	55	1	1998
Palladium	Weather Report	Heavy Weather	Jazz	287	6	1977
Part I	Keith Jarrett	The Koln Concert	Jazz	1561	1	1975
Part II A	Keith Jarrett	The Koln Concert	Jazz	894	2	1975
Part II B	Keith Jarrett	The Koln Concert	Jazz	1094	3	1975
Part II C	Keith Jarrett	The Koln Concert	Jazz	416	4	1975
Pavane >Thoughts of a Septuage	Esbjoern Svensson Trio	Good Morning Susie Soho	Jazz	223	8	2000
Pelé	Amsterdam Jazz Quintet	Portraits	Jazz	366	5	1997
Photograph	Ilg, D./Copland, M./Hirshfield, F.	What's Goin' On	Jazz	579	9	1995
Pick Up Sticks	Dave Brubeck Quartet	Time Out	Jazz	256	7	1959
Pick Yourself Up	Diana Krall	When I Look In Your Eyes	Jazz	181	10	1999
A Picture Of Doris Travelling With Boris	Esbjoern Svensson Trio	Viaticum	Jazz	340	8	2005
Piper	Cassandra Wilson	Traveling Miles	Jazz	303	11	1999
Popsicle Toes	Diana Krall	When I Look In Your Eyes	Jazz	268	5	1999
Powerless	Rebekka Bakken	The Art Of How To Fall	Jazz	249	10	2003
A Prayer	Madeleine Peyroux	Dreamland	Jazz	156	7	1996
Prelude	Ilg, D./Copland, M./Hirshfield, F.	What's Goin' On	Jazz	134	2	1995
Prelude In C Sharp Minor	Herbie Hancock	Gershwin's World	Jazz	285	12	1998
Providence	Esbjoern Svensson Trio	Good Morning Susie Soho	Jazz	293	7	2000
Psyko Pippi	Caecilie Norby	Queen Of Bad Excuses	Jazz	382	3	1999
Public Meditation	Tab Two	Belle Affaire	Jazz	427	8	1996
Rainbow In Your Eyes	Al Jarreau	Glow	Jazz	186	1	1976
Rainy Night House	Marc Copland	Some Love Songs	Jazz	390	1	2005
Reckless Blues	Madeleine Peyroux	Dreamland	Jazz	184	11	1996
A Remark You Made	Weather Report	Heavy Weather	Jazz	413	2	1977
Remember Rosa	Caecilie Norby	Queen Of Bad Excuses	Jazz	338	9	1999
Reminiscence Of A Soul	Esbjoern Svensson Trio	Good Morning Susie Soho	Jazz	715	11	2000
Resurrection Blues (Tutu)	Cassandra Wilson	Traveling Miles	Jazz	371	9	1999
Right Here, Right Now	Cassandra Wilson	Traveling Miles	Jazz	357	3	1999
The Right To Love	Caecilie Norby	My Corner Of The Sky	Jazz	180	2	1996
Rigoberta Menchu - The Weight Of The Past	Amsterdam Jazz Quintet	Portraits	Jazz	478	8	1997
Round-Trip	Erik Truffaz	The Dawn	Jazz	274	6	1997
'Round Midnight	Thelonious Monk	Misterioso	Jazz	376	7	1958
'round Midnight	Esbjoern Svensson Trio	Plays Monk	Jazz	370	3	1997
Round She Goes	Marc Copland	Some Love Songs	Jazz	532	2	2005
Rumba Mama	Weather Report	Heavy Weather	Jazz	131	5	1977
Run The VooDoo Down	Cassandra Wilson	Traveling Miles	Jazz	276	1	1999
Rythm-A-Ning	Esbjoern Svensson Trio	Plays Monk	Jazz	105	5	2000
Sad News	Tab Two	Belle Affaire	Jazz	394	5	1996
Say Goodbye To What Is Gone	Rebekka Bakken	The Art Of How To Fall	Jazz	335	2	2003
Scarborough Fair	Herbie Hancock	The New Standard	Jazz	504	7	1996
Scrapple From The Apple	Ilg, D./Copland, M./Hirshfield, F.	What's Goin' On	Jazz	380	4	1995
The Second Page	Esbjoern Svensson Trio	Winter in Venice	Jazz	304	12	1999
Semblance Suite: Part I	Esbjoern Svensson Trio	Winter in Venice	Jazz	360	4	1999
